X,Y
0.3641,2.0664
0.2263,2.0664
0.0885,2.0664
0.0546,2.0596
0.0259,2.0405
0.0067,2.0118
0,1.9779
0,1.7909
0,1.6039
0,1.4169
0,1.2299
0.0067,1.196
0.0259,1.1673
0.1686,1.0247
0.3112,0.882
0.4539,0.7393
0.5966,0.5966
0.7393,0.454
0.882,0.3113
1.0247,0.1686
1.1673,0.0259
1.196,0.0067
1.2299,0
1.4661,0
1.7023,0
1.9385,0
2.1747,0
2.2086,0.0067
2.2373,0.0259
2.3487,0.1372
2.46,0.2486
2.4792,0.2773
2.4859,0.3112
2.4859,0.4883
2.4859,0.6655
2.4792,0.6994
2.46,0.7281
2.4408,0.7568
2.4341,0.7906
2.4341,1.0251
2.4341,1.2595
2.4341,1.4939
2.4341,1.7284
2.4408,1.7623
2.46,1.791
2.4792,1.8197
2.4859,1.8536
2.4859,2.0307
2.4859,2.2079
2.4927,2.2417
2.5118,2.2704
2.5406,2.2896
2.5744,2.2964
2.6083,2.2896
2.637,2.2704
2.6657,2.2513
2.6995,2.2445
3.04,2.2445
3.3806,2.2445
3.7211,2.2445
4.0617,2.2445
4.0956,2.2513
4.1243,2.2704
4.153,2.2896
4.1869,2.2964
4.2207,2.2896
4.2494,2.2704
4.2686,2.2417
4.2753,2.2079
4.2753,2.0307
4.2753,1.8536
4.2821,1.8197
4.3012,1.791
4.3204,1.7623
4.3272,1.7284
4.3272,1.4939
4.3272,1.2595
4.3272,1.0251
4.3272,0.7906
4.3204,0.7568
4.3012,0.7281
4.2821,0.6994
4.2753,0.6655
4.2753,0.4883
4.2753,0.3112
4.2821,0.2773
4.3012,0.2486
4.4126,0.1372
4.524,0.0259
4.5527,0.0067
4.5865,0
4.8227,0
5.0589,0
5.2951,0
5.5314,0
5.5653,0.0067
5.594,0.0259
5.7367,0.1686
5.8794,0.3112
6.0221,0.4539
6.1647,0.5966
6.3074,0.7393
6.4501,0.882
6.5928,1.0247
6.7354,1.1673
6.7545,1.196
6.7613,1.2299
6.7613,1.4169
6.7613,1.6039
6.7613,1.7909
6.7613,1.9779
6.7545,2.0118
6.7354,2.0405
6.7067,2.0596
6.6728,2.0664
6.535,2.0664
6.3972,2.0664
